outlet,bias,headline,summary,ground_news_interest_url
littlegreenfootballs.com,Left,Colbert: ICE Outrage Goes Viral | White House Blame Game | Ilhan Omar: Tough Under Pressure | Poo-tomac River,"Americans are expressing their anger about ICE in some unlikely corners of the internet, Kristi Noem and Stephen Miller are pointing fingers at each other as the administration does damage control over Alex Pretti's murder, Rep. Ilhan Omar bravely faces tough questions from the press, and the Poo-tomac River continues to be a topic of interest.",https://ground.news/interest/littlegreenfootballscom
Jezebel,Left,ICE Agent Charged with Murder in Death of Migrant Detainee,"An ICE agent has been charged with murder in the death of a migrant detainee, Geraldo Lunas Campos, who died in Texas on Jan. 3. The agent, who is a convicted felon, is accused of choking the man to death.",https://ground.news/interest/jezebel
Daily Kos,Left,The Nightmare Scenario Democrats Warned About is Here,"The doomsday scenario Democrats warned about has arrived. President Trump threatened to invoke the Insurrection Act to sic the military on protesters, and the situation is spiraling out of control.",https://ground.news/interest/daily-kos
teleSUR,Left,At Least 10 People Die From Winter Storm in the u.s.,"A large winter storm continues to affect much of the United States, with an increasing number of victims currently counting ten fatalities and one million users at the moment, they are in the dark.",https://ground.news/interest/telesurtvnet
Salon,Left,Trump and sons seek $10 billion taxpayer-funded payday in IRS lawsuit,"President Donald Trump sued the IRS and the Treasury Department on Thursday, alleging they failed to ""safeguard"" his and his family's tax returns from being leaked to the press. Trump, along with his sons, Eric and Don Jr., and the Trump Organization, are seeking $10 billion in damages, according to a lawsuit filed in Florida's Southern District Court. The lawsuit alleges that the IRS and Treasury Department ""had a duty to...protect"" the Trumps' ""tax returns.""",https://ground.news/interest/salon
Afro,Left,"Black lawmakers, leaders nationwide decry attack on Minnesota Congresswoman Ilhan Omar","The attack on Rep. Ilhan Omar has drawn swift condemnation from Black lawmakers and civic leaders nationwide, who warned that political violence—especially against Black women in public service—poses a direct threat to democratic participation. Leaders emphasized that intimidation and assault have no place in civic spaces and urged accountability amid rising rhetoric that targets women of color, immigrants and Muslim communities. The post Leg…",https://ground.news/interest/afro
HuffPost,Left,"","",https://ground.news/interest/huffpost
Caraota Digital,Left,"Powerful Winter Storm 'Fern' Leaves More than 500,000 Without Electricity","The powerful winter storm 'Fern' has already left more than 500,000 people without electricity, while authorities expect the cancellation of over 9,600 flights this Sunday. Meteorologists warn that snow, snow showers, and dangerously cold temperatures will hit the eastern two-thirds of the country throughout the week.",https://ground.news/interest/caraota-digital
Aftonbladet,Left,Machado Gives Trump Peace Prize Medal,"Last year, Machado was awarded the Nobel Peace Prize. Now, she has given her medal to Donald Trump. – In recognition of his un 1 month ago · Stockholm, Sweden",https://ground.news/interest/aftonbladet
thecradle.co,Left,Trump Threatens Tariffs on Nations That Oppose US Annexation of Greenland,A bipartisan delegation of US lawmakers arrived in Copenhagen Friday for talks over the fate of the Danish territory.,https://ground.news/interest/thecradleco
Out Magazine,Left,Man Uses Pizza Cutter and Dream to Attempt to Break Luigi Mangione Out of Prison,"A 36-year-old man impersonating an FBI agent, armed with a pizza cutter and a barbecue fork, attempted to break Luigi Mangione out of prison in New York.",https://ground.news/interest/out-magazine-gay-and-lesbian-travel-fashion-culture-and-politics
Meduza,Left,CIA Director: Ukraine Did Not Attempt to Attack Putin's Residence,"The U.S. Central Intelligence Agency (CIA) reported on December 31 that Ukraine did not attempt to attack the residence of Russian President Vladimir Putin on Valdai in Novgorod province, according to The Wall Street Journal.",https://ground.news/interest/meduza
westvirginiawatch.com,Left,Trump Threatens to Use Insurrection Act and Deploy Military in Minnesota,"Following a shooting incident by immigration agents in Minneapolis, Minnesota, on January 14, 2026, President Donald Trump threatened to deploy the military to stop protests. This comes after a federal agent fatally shot a woman in Minneapolis on January 23, 2026. Trump's statement on his social media platform indicates that he is considering using the Insurrection Act to address the ongoing protests.",https://ground.news/interest/westvirginiawatchcom
oklahomavoice.com,Left,"Republicans Celebrate School Choice in U.S. Senate Hearing, While Dems Question Fairness • Oklahoma Voice","Louisiana Republican U.S. Sen. Bill Cassidy talks with reporters in the Dirksen Senate office building on Wednesday, Dec. 3, 2025. (Photo by Jennifer Shutt/States Newsroom)WASHINGTON — The fierce debate surrounding school choice initiatives took center stage Wednesday during a hearing in a U.S. Senate panel. President Donald Trump’s administration and congressional Republicans have made school choice a central point of their education agenda, while Democrats question the fairness of the policies.",https://ground.news/interest/oklahomavoicecom
CartaCapital,Left,U.S. Justice Temporarily Blocks the Expulsion of a Child Under 5 Years of Age Held by the Ice,"The case became a symbol of the indignation of Minnesota's protesters, who denounced the methods of immigration police as brutal.",https://ground.news/interest/cartacapitalcombr
Common Dreams,Left,Invoking Insurrection Act Is the Opposite of What Minneapolis Needs,"On social media today, Donald Trump threatened to invoke the Insurrection Act, which would allow him to deploy military forces in Minnesota. Lisa Gilbert, co-president of Public Citizen, issued the following statement in response: ""Invoking the Insurrection Act to deploy military forces against the American people is the exact opposite of what Minneapolis — and the country — needs right now. ""The violence in Minneapolis is being perpetrated by I... 1 month ago · United States",https://ground.news/interest/common-dreams
Alternet,Left,'We did not protect President Trump' DOJ says upon releasing 3 million more Epstein files,"More than forty days after federal law required the release of the Epstein files, the U.S. Department of Justice announced it will post about three million additional documents from its trove on Friday.In addition to the documents, 2,000 videos and about 180,000 images will also be released, according to Deputy Attorney General Todd Blanche, who “said the files included images taken by Epstein and others that were on his devices but he didn’t take.”",https://ground.news/interest/alternet
The New Yorker,Left,Attorney General Pam Bondi’s Contempt for Congress,"In a hearing dominated by questions about the Epstein files, the Attorney General treated congressional oversight like a roller derby. Ruth Marcus reports on the hearing and on the weaponization of the Department of Justice under Trump.",https://ground.news/interest/the-new-yorker
Bossip,Left,"Rep. Ilhan Omar’s Attacker Anthony Kazmierczak Charged With Assault, Sprayed Substance Identified","Source: Hennepin County Sheriff / other Donald Trump’s America is in perpetual turmoil. Immigrants are being targeted with violent kidnapping, citizens are being killed by militarized federal agencies and politicians who push back against that agenda are subject to physical attack by MAGA supporters. Yesterday, during a town hall meeting, Rep. Ilhan Omar was sprayed with a then unknown substance by a 55-year-old white man named Anthony Kazmierczak.",https://ground.news/interest/bossip
Aftonbladet,Left,Trump Threatens Tariffs on Countries that Do Not Support Greenland Plan,"Donald Trump wants to take over Greenland. Now he is threatening to impose tariffs on countries that oppose him. Because we need Greenland for our security, says Trump according to The Guardian.",https://ground.news/interest/aftonbladet
HuffPost UK,Left,Trump Warns 'Massive Armada' Heading To Iran: 'Time Is Running Out',"""As I told Iran once before, MAKE A DEAL!"" The president said.",https://ground.news/interest/huffpost-uk
The Canary,Left,Trump regime's claim dead ICE detainee killed himself is a flat-out lie,"Trump's ICE fascists have claimed that a Cuban detainee who died in ICE custody ""died while attempting suicide"". They are lying. ICE now lying about Cuban detainee Geraldo Lunas Campos. An eye-witness says that guards pinned and choked Cuban detainee Geraldo Lunas Campos after he refused to enter a new area of the ICE detention camp without his meds. Guards reacted by handcuffing and choking him. The El Paso County medical examiner agrees. After 1 month ago.",https://ground.news/interest/the-canary
Crooks and Liars,Left,"Trump Stirs The Pot In Minnesota, Threatens To Invoke The Insurrection Act","One month ago, the United States witnessed a tumultuous event.",https://ground.news/interest/crooksandliarscom
teleSUR,Left,DHS Suspends Two Officers Following Protestant Alex Pretti's Death in Minneapolis,The Department of Homeland Security has placed two officers under administrative leave following the shooting death of Protestant Alex Pretti in Minneapolis.,https://ground.news/interest/telesurtvnet
New York Magazine,Left,Trump Gets Nobel Peace Prize in Saddest Way Possible,"Trump finally got a Nobel Peace Prize in the saddest way possible. María Corina Machado said she ""presented"" her award to the president during their White House meeting. But there was no big on-camera reveal, and the Nobel said he's still no winner.",https://ground.news/interest/new-york-magazine
The New Republic,Left,FBI Records Expose Trump's False Claim of No Knowledge on Epstein,President Trump's public statement that he had no knowledge of Jeffrey Epstein's crimes is contradicted by FBI records from 2006.,https://ground.news/interest/the-new-republic
scheerpost.com,Left,Trump’s IRS Leak Suit Pulls Back the Curtain on a Government That Can’t Protect Its Own Data,"President Donald Trump has filed a $10 billion lawsuit against the IRS and the Treasury Department, accusing federal agencies of failing to prevent the leak of his tax information to major news outlets between 2018 and 2020. The suit, filed in federal court in Florida, names Trump’s sons Eric Trump and Donald Trump Jr. as defendants.",https://ground.news/interest/scheerpostcom
The New Republic,Left,Trump's Lawsuit Against the IRS Is Even Crazier Than You Think,Donald Trump is suing over things that happened during his first term.,https://ground.news/interest/the-new-republic
Le Huffington Post,Left,Two Minneapolis Officers Suspended After Deadly Shooting of Alex Pretti,"The two officers involved in the fatal shooting of Alex Pretti have been suspended, and several agents attempted to subdue him on the ground.",https://ground.news/interest/le-huffington-post
Xinhua,Left,"Bulgaria Joins Eurozone Amid Expectations, Adjustments","Bulgaria joins eurozone amid expectations, adjustments",https://ground.news/interest/newscn
HuffPost,Left,"'All Accurate, Except': Stephen Colbert Trolls Melania Trump With 1 Epic Fact-Check","The ""Late Show"" host mocked the first lady over the release of her documentary.",https://ground.news/interest/huffpost
Wonkette,Left,"The Softer Side Of ICE. Tabs, Wed., Jan. 28, 2026","Tabs gif by your friend Martini Glambassador! Good morning good morning, Trump doesn’t like the shootings, it’s time to “de-escalate” and have “heart.” Like so:Why public opinion sometimes moves really really fast, in this case on “immigration” and abolish ICE. (G. Elliott Morris) You can’t train your way out of evil. (The New Republic)But you can train your way out of ignorant! Get all the important news that matters!“Embattled” Kristi Noem is …",https://ground.news/interest/wonkette
New York Magazine,Left,Trump Responds to Ilhan Omar Attack With Evidence-Free Smear,"Trump responds to Ilhan Omar attack with evidence-free smear. After a man sprayed liquid on the Minnesota Democrat, Trump accused her of staging the attack — while admitting he hadn’t watched the video.",https://ground.news/interest/new-york-magazine
Middle East Eye,Left,Federal Judge Blocks Trump Administration from Detaining Refugees in Minnesota,Judge John Tunheim issued a restraining order to block federal agents from arresting and detaining lawful refugees in Minnesota.,https://ground.news/interest/middle-east-eye
The New Republic,Left,Trump Announces His Surprising Pick for Next Fed Chair: Kevin Warsh,President Trump’s nominee for the next chair of the Federal Reserve was very much not the obvious choice.,https://ground.news/interest/the-new-republic
Mashable,Left,Jimmy Kimmel's blunt reaction to the latest Epstein files update,"Jimmy Kimmel has expressed his thoughts on the latest Epstein files update, with Trump officials stating that they still do not have a specific release date.",https://ground.news/interest/mashable
factkeepers.com,Left,Proof and Truth and Lies,"Republished with permission from Lucian K. Truscott IV Buckle up. There is more, and it is worse than you think. Donald Trump, as he does almost daily, had reporters in the Oval Office today and answered a question saying “there’s nothing on me” in the Epstein files and claimed that “they found that Jeffrey Epstein and a sleazebag writer named Michael Wolff were conspiring against Donald Trump to lose the election.” Elsewhere, it emerged that in…",https://ground.news/interest/factkeeperscom
Meduza,Left,Faux FBI Agent Attempts to Free Prisoner Accused of Murder,"On January 27, a man impersonating an FBI agent claimed to have a court-issued order for the release of Luigi Manjone, a prisoner awaiting trial for the murder of Brian Thompson, CEO of UnitedHealthcare.",https://ground.news/interest/meduza
Raw Story,Left,Trump Considers Massive Military Action Against Iran Amid Diplomatic Collapse,"President Donald Trump is seriously considering a massive military strike against Iran after diplomatic efforts to resolve the country's nuclear program and ballistic missile program have failed, according to sources. The dramatic report follows Trump's consideration of military action framed as support for regional allies, as tensions between the U.S. and Iran continue to escalate.",https://ground.news/interest/raw-story
Raw Story,Left,CBS News Plans to Hire 18 'Paid Commentators',"CBS News' newly installed editor-in-chief, Bari Weiss, plans to introduce her vision for the network at an all-staff meeting, which will involve laying off some veteran journalists and hiring 18 ""paid commentators.""",https://ground.news/interest/raw-story
thecradle.co,Left,"China, Canada lay foundation for 'new strategic partnership' as Carney visits Beijing",Ottawa is seeking to diversify its non-US exports amid growing uncertainty from Washington's tariffs and threats of annexation,https://ground.news/interest/thecradleco
National Memo,Left,'Pathetic': Norwegians Furious After Machado Delivers Nobel Medal To Trump,"When U.S. forces captured Venezuelan President Nicolás Maduro and transported him to a federal detention center in New York City, leftist Vice President Delcy Rodríguez (an ally of Maduro and his predecessor, the late Hugo Chávez) was sworn in as Venezuela's acting president — not opposition leader María Corina Machado. And President Donald Trump said Machado didn't have enough support for the position. But Nobel Peace Prize laureate Machado still delivered the Nobel Peace Prize medal to Trump.",https://ground.news/interest/national-memo
Alternet,Left,'Extraordinary step' as judge orders top Trump official into court on threat of contempt,"A key Trump official is facing the possibility of being held in contempt, according to Politico's Kyle Cheney, after a leading judge in Minnesota lashed the administration for failure to comply with court orders in a new filing from Monday. According to filing documents shared to social media by Cheney, Judge Patrick J. Schlitz, the chief federal judge for the District of Minnesota, ordered Todd Lyons, the acting director of ICE under Donald Trump, into court on Monday.",https://ground.news/interest/alternet
babel.ua,Left,"New Year's Eve Explosion in Swiss Ski Resort Kills Dozens, Injures Hundreds","A fire broke out in a bar at the Crans-Montana ski resort in Switzerland on New Year's Eve, resulting in the deaths of dozens and injuries to hundreds of people.",https://ground.news/interest/babelua
Alternet,Left,'Grifter in chief' already set to profit off of Palm Beach airport,"On his way back home to Washington, President Donald Trump spoke to the press about how he would profit if the Palm Beach airport changed its name to honor him. Attacked by Florida leaders as the ""grifter in chief,"" Trump's trademark would allow him to profit from any and all airport merchandise bearing the airport's name. So, Florida lawmakers proposed a slight amendment to the legislation, changing the name, that would bar anyone from profiting from the airport's name change.",https://ground.news/interest/alternet
Alternet,Left,Trump 'learning the hard way' that his smears no longer work: conservative,"Conservative columnist Michael Warren says President Donald Trump has one response to most things that bother him, but it’s not saving him this time. ""The Trump administration may be learning the hard way that its de facto policy of shooting your mouth off first and asking investigatory questions later is providing diminishing returns,"" Warren said in the Dispatch.",https://ground.news/interest/alternet
RollingStone,Left,Pam Bondi's Emotional Outburst as Democrats Demand Answers on Epstein Files Fiasco,Attorney General Pam Bondi's emotional outburst at a Senate hearing where Democrats demanded answers on the Justice Department's handling of the Epstein files.,https://ground.news/interest/rollingstone_6de571
lrytas.lt,Left,"Chaos in the US - Cold and Snow Hit: Thousands of Flights Canceled, Many People Left without Power","Among other things, the states of Mississippi, Louisiana, and Texas have been severely affected.",https://ground.news/interest/lrytaslt
Raw Story,Left,'Stop this madness': Advocates demand more than prayers after hockey rink mass shooting,Child safety advocates renewed calls for tighter gun control measures following a Monday mass shooting at a high school hockey game in Rhode Island that left three people including the gunman dead and three others injured.WPRI reported that the father of a North Providence High School senior shot fi...,https://ground.news/interest/raw-story
Talking Points Memo,Left,Bondi Won’t Say Who Is On DOJ’s New List Of Domestic Terrorists Besides ‘Antifa’,"Attorney General Pam Bondi repeatedly skirted attempts on Wednesday by Rep. Mary Gay Scanlon (D-PA) to get answers about Trump administration directives from September, which included the National Security Presidential Memorandum (NPSM-7), that cast a bunch of non-controversial ideas — “anti-Americanism, anti-capitalism, and anti-Christianity” — as worthy of investigation by federal law enforcement. It was interpreted by some as a move to target left-wing groups like Antifa.",https://ground.news/interest/talking-points-memo
HuffPost,Left,"Federal Agents Who Killed Alex Pretti, Renee Good Have Been Placed On Leave",Finally.,https://ground.news/interest/huffpost
HuffPost,Left,Republican Blames Ilhan Omar For Own Assault After She Was Attacked At Town Hall,"Rep. Randy Fine (R-Fla.) blamed Congresswoman Ilhan Omar for her own assault at a town hall meeting, stating that he wants her to be deported and denaturalized, but not to be attacked or hurt.",https://ground.news/interest/huffpost
The New Republic,Left,Judge Orders ICE Chief to Appear in Court to Explain Actions,Acting ICE Director Todd Lyons is facing contempt of court if he does not appear in court this week.,https://ground.news/interest/the-new-republic
Afro,Left,Bovino to Leave Minneapolis Amid Immigration Crackdown,Senior U.S. Border Patrol official Greg Bovino is set to leave Minneapolis on Jan. 27 following intense immigration raids that resulted in the shooting deaths of two residents at the hands of federal agents.,https://ground.news/interest/afro
World Socialist Web Site,Left,Major financial oligarchs helped Kevin Warsh secure Trump’s nomination for Fed chair,Trump’s decision is the outcome of a balancing act which itself underscores the inherent instability of the US financial system.,https://ground.news/interest/world-socialist-web-site
New York Magazine,Left,Trump Told Police Chief 'Everyone' Knew About Epstein Abuse,"The Epstein files reveal Trump said 'everyone' knew about Epstein's abuse in a 2006 call to a police chief. The Trump administration said the call is fake, or maybe real, but either way it ""corroborates"" everything Trump ever said about Epstein.",https://ground.news/interest/new-york-magazine
junge Welt,Left,US President Trump Threatens Military Operation Against ICE Protests,"Trump warns of military intervention to quell ongoing protests against ICE, a move that has sparked widespread criticism and concern.",https://ground.news/interest/junge-welt
CartaCapital,Left,German Bank Suffers Massive Theft by Thieves Using Drill,The estimated damages amount to around EUR 30 million.,https://ground.news/interest/cartacapitalcombr
Crooks and Liars,Left,"DOJ Seals Evidence of Alex Pretti's Murder, Citing Rioter's Threats","The Department of Justice (DOJ) has sealed evidence of the murder of 37-year-old Alex Pretti by the FBI, citing an unrelated Jan. 6 rioter who had threatened agents.",https://ground.news/interest/crooksandliarscom
HuffPost UK,Left,"'Gold Standard' Evidence Shows Paracetamol Safe During Pregnancy, No Increased Autism or ADHD Risk","A comprehensive review of the most reliable research indicates that paracetamol is safe for use during pregnancy, with no increased risk of autism or ADHD.",https://ground.news/interest/huffpost-uk
Daily Kos,Left,Senate Democrats Block Government Spending Bill Over ICE Funding,Democrats voted to block legislation to fund the Department of Homeland Security and several other agencies Thursday as they continued to negotiate with Republicans and the White House on new restrictions for President Donald Trump's surge of immigration enforcement.,https://ground.news/interest/daily-kos
Black America Web,Left,Calls Mount For DHS Boss Kristi Noem To Step Down In Wake Of Minnesota Shootings,"Kristi Noem's tenure as the leader of the Department of Homeland Security has been met with calls for her ouster in the wake of the incidents in Minnesota. President Donald Trump has stated that Kristi Noem will remain in her role as DHS Secretary, but there are rumblings that changes are soon to come. The chatter around Kristi Noem's role regarding the handling of the ground tactics in Minnesota points to the recent shooting deaths of Renee Good, a 20-year-old woman.",https://ground.news/interest/black-america-web
HuffPost,Left,Man Tackled After Spraying Unknown Substance On Rep. Ilhan Omar,The audience cheered as he was pinned down and his arms were tied behind his back.,https://ground.news/interest/huffpost
westvirginiawatch.com,Left,"","",https://ground.news/interest/westvirginiawatchcom
Salon,Left,Trump and sons seek $10 billion taxpayer-funded payday in IRS lawsuit,"President Donald Trump sued the IRS and the Treasury Department on Thursday, alleging they failed to ""safeguard"" his and his family's tax returns from being leaked to the press. Trump, along with his sons, Eric and Don Jr., and the Trump Organization, are seeking $10 billion in damages, according to a lawsuit filed in Florida's Southern District Court. The lawsuit alleges that the IRS and Treasury Department ""had a duty to...protect"" the Trumps' ""tax returns.""",https://ground.news/interest/salon
The Daily Boulder,Left,Appeals Court Rules Kristi Noem Broke the Law by Ending Protections for Venezuelan and Haitian Immigrants,A federal appeals court ruled that Homeland Security Secretary Kristi Noem exceeded her authority and acted illegally when she terminated temporary legal status for hundreds of thousands of Venezuelans and Haitians living in the United States. The three-judge panel of the U.S. 9th Circuit Court of Appeals upheld a lower court’s decision to reinstate protections intended to prevent deportation or work authorization loss.,https://ground.news/interest/the-daily-boulder
mainemorningstar.com,Left,"U.S. Senate Fails to Advance Spending Package, Looming Partial Shutdown Friday Night","Senate Majority Leader John Thune speaks to reporters at the U.S. Capitol on Jan. 28, 2026. (Photo by Jennifer Shutt/States Newsroom)WASHINGTON — The U.S. Senate was unable to advance a funding package Thursday, pushing the federal government closer to a partial shutdown as Democrats press for restrictions on immigration enforcement. The 45-55 vote needed at least 60 senators to agree to move forward with debate on the six appropriations bills.",https://ground.news/interest/mainemorningstarcom
Wonkette,Left,"Trump Regifts Nobel Peace Prize, Is This What Being Obama Feels Like?","Donald Trump's recent actions have been widely criticized, including his actions as President.",https://ground.news/interest/wonkette
heimildin.is,Left,Trump Demands $10 Billion in Us Tax Cuts,"President Donald Trump has filed a lawsuit against the Internal Revenue Service (IRS) seeking $10 billion, equivalent to 1.240 billion krónur, over alleged leaks of tax returns that he says have harmed his business. The lawsuit – filed by the president on his own behalf, along with his two eldest sons, Eric and Donald Jr., and their family business, The Trump Organization – said the tax...",https://ground.news/interest/heimildinis
