outlet,bias,headline,summary,ground_news_interest_url
World Socialist Web Site,Far Left,"Over 100 Miners Starved to Death by the ANC in South Africa, Hundreds Still in Danger","This is a revolting crime of South African capitalism. Comparisons are already being drawn in the country to the Marikana Massacre of 2012, where police under the command of the ANC killed 36 striking workers at the Lonmin platinum mine. 1 year ago · United States",https://ground.news/interest/world-socialist-web-site
Orinoco Tribune,Far Left,Colombia Backtracks After Deportation Tensions With United States,"Colombian President Gustavo Petro's government has reversed its stance on deporting its citizens, following a conflict with the United States. In response, the U.S. administration praised itself for gaining respect.",https://ground.news/interest/orinoco-tribune
Orinoco Tribune,Far Left,Trump's Special Envoy Meets President Maduro in Caracas (+US Prisoners Released),"Caracas (OrinocoTribune.com)—On Friday afternoon, Richard Grenell, US President Donald Trump’s special presidential envoy for special missions, landed at the Simón Bolívar International Airport, Caracas, flying from Washington DC aboard a US Air Force Boeing C-40B. Grenell met Venezuelan President Nicolás Maduro at Office No.1 of Miraflores Palace, seat of the Venezuelan presidency. President Maduro was accompanied by First Lady and Deputy Cilia Flores. President Maduro announced the release of 13 US prisoners held by the Venezuelan government.",https://ground.news/interest/orinoco-tribune
teleSUR,Far Left,Stampede at Indian railway station kills 18 people,"At least 18 people died this Saturday after a stampede at the main train station in the capital of India, New Delhi. The stampede occurred around 20:00 local time and was caused by a sudden human stampede after two trains were delayed, leading to a rush for a religious festival.",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,"Panama to Audit China-Panama Agreement, Lean Towards US","In a high-profile meeting this Sunday, Panamanian President José Raúl Mulino and US Secretary of State Marco Rubio addressed relevant issues such as migration, the Chinese presence in the Panama Canal and the reorientation of trade alliances. Mulino confirmed that he offered the United States the use of an air base in Darién—a border region with Colombia and epicenter of migration flow—to facilitate the repatriation of migrants intercepted in U.… 1 year ago",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,Hamas Frees Three Israeli Hostages in the Gaza Strip · Global Voices,"Israel is expected to release in hours of Saturday afternoon 369 Palestinians who were imprisoned in Israeli jails. As planned, the Hamas Palestinian Resistance Movement released three Israelis who had been held captive in the Gaza Strip since early October 2023. READ ALSO: Hamas reaffirms its commitment to the ceasefire in Gaza The three liberated Israelis were identified as 36-year-old Sagui Dekel-Chen; 29-year-old Alexander Trufanov; and 46-year-old Yitzhak Shani.",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,TikTok Restores Service in U.S. After Trump Promises,"After the Supreme Court ordered TikTok to close, the social network announced it will reopen in the U.S. on Trump's first day in office, following his pledge to reverse the federal ban. The president, who will take office for the second time tomorrow, plans to give TikTok more time to find a U.S. buyer before… 1 year ago",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,Air crash in the U.S. kills several people,"Police sources revealed that so far the lifeguards have recovered at least 18 bodies. The air crash recorded Wednesday night in Washington, D.C., the capital of the United States, has left an unspecified number of fatalities, according to reports from police sources to local media. Authorities indicated that the air mishap occurred over the Potomac River at … 1 year ago",https://ground.news/interest/telesurtvnet
Palmer Report,Far Left,Donald Trump's criminal trial sentencing is happening after all,"... 1 year ago · Los Angeles, United States",https://ground.news/interest/palmer-report
Wonkette,Far Left,"Kash Patel, America's Most Pathetic Liar, Gets Confirmation Hearing","Today, Kash Patel, the least qualified nominee for the position of FBI director, will have a confirmation hearing. Despite Chris Wray's loyalty to Trump, the president decided to cut Wray's 10-year term short and appoint Patel, who is the least qualified and most desperate nominee. Some of … 1 year ago · United States",https://ground.news/interest/wonkette
teleSUR,Far Left,"","",https://ground.news/interest/telesurtvnet
Jacobin,Far Left,Eric Adams vs. the Rule of Law,"Even as part of a mayoralty characterized by attacking public services, scapegoating of migrants, and raising housing costs, New York City mayor Eric Adams’s pandering to Donald Trump in an effort to escape federal corruption charges is particularly brazen. New York City mayor Eric Adams addresses reporters during a press conference at City Hall in Lower Manhattan on February 24, 2025. (James Carbone / Newsday RM via Getty Images) The Trump administration has been accused of targeting the rule of law, and New York City mayor Eric Adams’s actions in this regard are particularly egregious.",https://ground.news/interest/jacobincom
teleSUR,Far Left,"","",https://ground.news/interest/telesurtvnet
World Socialist Web Site,Far Left,Trump's Call for Ethnic Cleansing in Gaza Sparks International Concern,"US President Donald Trump's recent call for Israel to ""clean"" Gaza of its Arab inhabitants has sparked international concern and condemnation, as it represents a blatant call for ethnic cleansing in the region.",https://ground.news/interest/world-socialist-web-site
teleSUR,Far Left,"","",https://ground.news/interest/telesurtvnet
Crooks and Liars,Far Left,Elon Musk Calls For Germany To 'Move Beyond' Nazi Guilt,"""There is too much focus on past guilt, and we need to move beyond that,"" Musk told a rally for the far-right Alternative for Germany (AfD).",https://ground.news/interest/crooksandliarscom
Jacobin,Far Left,"","",https://ground.news/interest/jacobincom
teleSUR,Far Left,Pope Francis Critical Condition After Respiratory Crisis,"Francis remains conscious and has spent the day in an armchair, although with more discomfort than those suffered on Friday. The Vatican Press Office reported that Pope Francis remains in critical condition after experiencing a respiratory crisis this Saturday.",https://ground.news/interest/telesurtvnet
Crooks and Liars,Far Left,Trump's Davos Lies: Fact Check by CNN's Daniel Dale,"CNN's Daniel Dale fact checks the numerous falsehoods uttered by President Trump during his speech at the World Economic Forum in Davos, Switzerland. 1 year ago · United States",https://ground.news/interest/crooksandliarscom
Crooks and Liars,Far Left,Trump Turns White House Meeting With Zelenskyy Into A Sh*tshow,This was incredible. It's as if Donald gave Putin a blowie in public. 1 year ago · United States,https://ground.news/interest/crooksandliarscom
Crooks and Liars,Far Left,Mark Zuckerberg's Love For Misinformation,Mark Zuckerberg has been known to support right-wing agitators. 1 year ago · United States,https://ground.news/interest/crooksandliarscom
teleSUR,Far Left,"","",https://ground.news/interest/telesurtvnet
Crooks and Liars,Far Left,"Bird Flu Mutates Again In Cows, But It's All Going To Be Fine!","With our newly staffed CDC and Bob Kennedy at the helm of national health, we have nothing at all to worry about. Ha ha, just kidding, we should be terrified! 1 year ago · United States",https://ground.news/interest/crooksandliarscom
Crooks and Liars,Far Left,Trump Turns White House Meeting With Zelenskyy Into A Sh*tshow,This was incredible. It's as if Donald gave Putin a blowie in public. 1 year ago · United States,https://ground.news/interest/crooksandliarscom
Crooks and Liars,Far Left,Trump Complains: Harder To Deal With Ukraine As Russia Pummels Them With Bombs,"Trump complains about the difficulty of dealing with Ukraine as Russia bombards them with attacks. Despite Russia's relentless assault on Ukraine, Trump remains confident in his ability to negotiate a peace treaty with Putin. ""President Putin is bombing Ukraine. Do you still believe him when he tells you that he wants peace?"" a reporter asked. ""Yeah, no, I believe him. I think we're doing very well with Russia,"" Trump replied. ""But right … 1 year ago · United States",https://ground.news/interest/crooksandliarscom
teleSUR,Far Left,"","",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,Stampede at Indian railway station causes 18 deaths,"At least 18 people died on Saturday after a stampede occurred at the main train station in New Delhi, India. The stampede was caused by a sudden human stampede following the delay of two trains to a religious festival.",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,South Korean Prosecutor's Office Accuses Deposed President of Insurgency After Declaring Martial Law,"South Korea's former deposed president, Yoon Suk-yeol, was formally charged on Sunday for the crime of insurrection, following his controversial decision to declare martial law on December 3.",https://ground.news/interest/telesurtvnet
World Socialist Web Site,Far Left,"Trump escalates global economic war with ""reciprocal tariffs""","The move, which goes beyond the imposition of a flat tariff on all nations, threatens to shatter what remains of the global trading system that has been in operation since 1947. 1 year ago · United States",https://ground.news/interest/world-socialist-web-site
teleSUR,Far Left,"Russia liberates four towns in Kursk region, advances in Ukraine","Russia has freed four towns in the Kursk region, including Viktorovka, Nikoláevka, and Stáraya Sorochina, from Ukrainian forces. The offensive actions of the «North» troops have led to the defeat of 14 Ukrainian brigades in 13 border towns, as part of Russia's special military operation in Ukraine.",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,"","",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,Violence Persists in Gaza Despite Ceasefire: Palestinian Civilians Suffer Attacks and Displacements,"These acts of violence represent a clear violation of the ceasefire agreement that entered into force on 19 January. In an escalation of violence that continues to defy the ceasefire agreements, Israeli forces have perpetrated a series of attacks against Palestinian civilians in the Gaza Strip. A recent incident reported by the WAFA agency details how an individual was shot, while he was with a group of people near Wadi Gaza, on the Al-Rashid coast.",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,"","",https://ground.news/interest/telesurtvnet
telesurtv.net,Far Left,"Air crash in Toronto, Canada, leaves 19 injured","A Delta Airlines plane overturned upon landing at Pearson Airport in Toronto, Canada, impacting its roof and causing 19 injured, three of them in critical condition.",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,New air crash in the United States leaves at least six dead,At least six Mexican citizens died on Friday when a medical plane crashed in the city of Philadelphia in the east of the United States.,https://ground.news/interest/telesurtvnet
teleSUR,Far Left,Presidents of Russia and Iran meet in Moscow to deepen bilateral cooperation,"Vladimir Putin and Masud Pezeshkian will sign a new basic interstate treaty on global strategic partnership. Russia’s presidents, Vladimir Putin, and Iran, Masud Pezeshkian, met this Friday in the Russian capital, Moscow with the intention of promoting bilateral cooperation in a comprehensive manner and signing a new interstate treaty of global strategic partnership that will define collaboration in various areas over the next 20 years and allow for long-term cooperation. 1 year ago",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,Hostage relatives demand Netanyahu move to second phase in agreement with Hamas,"The relatives of the Israeli hostages shared a statement on Sunday night demanding the immediate commencement of the second phase of the agreement with the Palestinian resistance, before any return to war in Gaza. While the Israelis do not ask Netanyahu to complete his bombings in the Gaza Strip and his attacks in the occupied West Bank, they have demanded that the Israeli Prime Minister move on to the second phase of the agreement with Hamas and other Palestinian factions.",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,"Uncontrolled Forest Fire Spreads in California, U.S.A.","About half a million public service users are exposed to electricity disruption. Firefighters are working to control a forest fire that spreads rapidly on the slopes of the U.S. city of Los Angeles with homes of famous personalities, while an intense windstorm besieged Southern California on Tuesday. READ ALSO: The U.S. government approves million-dollar arms sales to Israel",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,Fourth Group of Palestinians Released in Ceasefire Deal,"Israel released 183 Palestinian citizens as part of the ceasefire agreement with Hamas. The release comes after the exchange of 18 Israeli hostages for 583 Palestinians, including many women and minors. The Palestinian Prisoners’ Press Office confirmed the release of 183 Palestinians from Israeli occupation prisons, with 18 serving life sentences and 5 serving less than a year.",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,"","",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,Confrontations in the Congo leave at least 773 dead and thousands injured,"Violence in the Democratic Republic of the Congo has left thousands dead and displaced, fleeing clashes between government forces and M23 insurgents. At least 773 people were killed and 2,880 injured in eastern Democratic Republic of the Congo due to clashes between government forces and the 23 March Movement (M23) insurgents, a group supported by Rwanda.",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,"","",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,Trump Presses for Immediate Negotiations in Ukraine and Dialogue with Putin · Global Voices,"Trump ordered his team to organize urgent meetings to start negotiations to end the war in Ukraine, highlighting the human cost of the conflict and revealing a ""concrete plan"" to stop the hostilities. The move coincides with the next meeting of Vice President JD Vance with Vladimir Zelenski, at the Munich Security Conference.",https://ground.news/interest/telesurtvnet
telesurtv.net,Far Left,South Korea's Deposed President Arrested for Declaring Martial Law · Global Voices,"Yoon Suk-yeol was arrested on Wednesday, following his agreement to appear before the anti-corruption office investigating him for the failed declaration of martial law in South Korea.",https://ground.news/interest/telesurtvnet
Jacobin,Far Left,Biden's Bleak Presidency Was Always Going to End in Trump,"Joe Biden's presidency has been marked by empty gestures and moral failures, ultimately leading to a reinvigorated Donald Trump with a popular mandate and a drive for retribution.",https://ground.news/interest/jacobincom
telesurtv.net,Far Left,Trump and Zelenski: A Clash of Interests,"In a tense exchange, U.S. President Donald Trump and Ukrainian President Vladimir Zelenski clashed over the U.S. stance on Russia and the country's disadvantage due to Moscow's closeness with Washington. The two leaders emphasized the inconsistency of U.S. policy and the disparity between their positions, highlighting the ongoing conflict.",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,"","",https://ground.news/interest/telesurtvnet
Crooks and Liars,Far Left,Mark Zuckerberg's Love For Misinformation,Mark Zuckerberg has been caught up in the right-wing misinformation storm. 1 year ago · United States,https://ground.news/interest/crooksandliarscom
teleSUR,Far Left,Trump Presses for Immediate Negotiations in Ukraine and Dialogue with Putin · Global Voices,"Trump orders urgent meetings to end the war in Ukraine, highlighting the human cost of the conflict and revealing a concrete plan to stop the hostilities. The move coincides with the next meeting of Vice President JD Vance with Vladimir Zelenski, at the Munich Security Conference.",https://ground.news/interest/telesurtvnet
Orinoco Tribune,Far Left,Israel: 90 Palestinian Abductees Freed in First Exchange of Gaza Ceasefire Deal,"Israel has released ninety Palestinian abductees as part of the first phase of a Gaza ceasefire deal with the Hamas resistance movement. All the Palestinian abductees were freed from Ofer Prison in the occupied West Bank on Monday, the Israel Prison Service said on Monday. They were carried by buses to the West Bank town of Beitunia and the city of Ramallah. Hundreds of Palestinians hit the streets of Beitunia and Ramallah in jubilation, waving flags and chanting slogans.",https://ground.news/interest/orinoco-tribune
telesurtv.net,Far Left,"Trump, Zelenski: U.S. Policy in Disarray, as Trump and Zelenski Exchange Scandal-Fueled Tweets","In a day of unprecedented scandal, U.S. President Donald Trump and his Ukrainian counterpart, Vladimir Zelenski, engaged in a heated exchange of tweets, highlighting the inconsistencies in U.S. policy and the conflicting views of the two leaders. The tension between the two countries has reached a boiling point, with the world watching closely to see who will emerge victorious.",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,Trump Announces Mega-Project for Large-scale AI Development,"The United States revealed the Stargate Project, an unprecedented initiative to develop artificial intelligence infrastructure. The megaproject is backed by technological giants such as Microsoft, NVIDIA, OpenAI, and SoftBank. It will require critical minerals and energy available on a massive scale. The United States announced one of the most ambitious technological projects in modern history: Stargate, an initiative that promises to transform technology.",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,"","The patient was exposed to ""a combination of back yard birds that were not intended for consumption and wild birds.""Avian influenza has begun to wreak havoc, with confirmation of the death of the first person due to that disease in Louisiana, reported Monday by the U.S. Department of Health. READ ALSO: The U.S. government approves million-dollar arms sales to Israel So far, the deceased, an older adult, is the only victim of the H5N1 virus, after being exposed to a combination of backyard birds not intended for consumption and wild birds. 1 year ago",https://ground.news/interest/telesurtvnet
Crooks and Liars,Far Left,Elon Musk Urges Germany to 'Move Beyond' Nazi Guilt,"""There is too much focus on past guilt, and we need to move beyond that,"" Musk told a rally for the far-right Alternative for Germany (AfD).",https://ground.news/interest/crooksandliarscom
Jacobin,Far Left,"US Had the Power to Restrain Israel, Refused to Use It","After 15 months of bloodshed, news has emerged of a cease-fire deal in Gaza. The US always had the power to restrain Israel but refused to use it. A smoke plume rises from explosions above destroyed buildings in the northern Gaza Strip on January 13, 2025. (Menahem Kahana / AFP via Getty Images) Just hours ago, news emerged of a cease-fire deal between Israel and Hamas. The announcement was preceded by a post from incoming president Donald Trump... 1 year ago",https://ground.news/interest/jacobincom
World Socialist Web Site,Far Left,Trump Promises Davos Oligarchs Lowest Corporate Tax Rate of Any Nation on Earth,"During a virtual panel at the World Economic Forum, US President Trump promised to slash the US corporate tax rate, gut environmental protections, and slash social spending.",https://ground.news/interest/world-socialist-web-site
teleSUR,Far Left,Trump lifts veto for supply of heavy bombs to Israel,"Last May, Washington interrupted the distribution to the Zionist entity of nearly 1,000 kilograms of bombs. Donald Trump, the president of the United States, confirmed this Saturday that he ordered the lifting of the veto imposed by the last administration to send 2,000 pounds air bombs (about 907 kilograms) to Israel. Today we lifted the ban that weighed on them.",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,South Korean court sets first hearing to try Yoon Suk-yeol for ordering martial law,"The case has generated intense debate in South Korea, bearing in mind that the law provides that leaders accused of insurrection may be punished with life imprisonment or even with the death penalty, although the latter has not been applied for 40 years. South Korea’s Constitutional Court announced that the first oral hearing of the political trial against President Yoon Suk-yeol will be held on 14 January, in the framework of a process that sees the trial’s first hearing.",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,"","",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,Israel releases third group of Palestinians as part of ceasefire,"Despite threats and delays, 110 kidnapped Palestinians were released as part of the ceasefire agreement between the Palestinian resistance and the Zionist entity. Two buses with Palestinian captives arrived in Beitunia, near Ramallah, surrounded by thousands of relatives of Palestinians who received them in tears, songs, and prayers, as well as with tokens of gratitude to the Palestinian resistance. 1 year ago",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,"","",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,Shooter kills 12 people in Montenegro,"Montenegrin authorities reported on Thursday the death of 12 people in the city of Cetinje, to the south, after several gun attacks by a shooter who ended up killing himself, and anticipated that three days of mourning will be decreed for the tragedy. READ ALSO: Shooting in Queens, USA, leaves several injured The events occurred during the night of Wednesday, when the shooter - identified as Aco Martinovic by the RTCG public television network- carried out the attacks.",https://ground.news/interest/telesurtvnet
Crooks and Liars,Far Left,Trump Is Officially a Convicted Felon,"Trump was officially convicted on Friday, although he will not suffer any punishment at all - except the scorn of being a felon 1 year ago · United States",https://ground.news/interest/crooksandliarscom
teleSUR,Far Left,Donald Trump Does Not Rule Out Military Force to Recover Panama Canal,"U.S. President-elect Donald Trump considers the Panama Canal ""vital"" for national security and described the possession of Greenland as an ""absolute necessity."" He ruled out the use of military force to recover the Panama Canal during a press conference on Tuesday.",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,Democratic Congressman Begins Political Trial Process Against Trump by Gaza Plan · Global Voices,"U.S. legislator Al Green described the takeover of the Gaza Strip and the transformation of the territory into a “Middle East River” as an “ethnic cleansing.” During a hearing in the House of Representatives, broadcast on TV channel C-SPAN, U.S. Democratic Congressman Al Green announced that he will begin a process of political trial, also known as impeachment, against the current U.S. president, Donald Trump, for his proposal to “take control” … 1 year ago",https://ground.news/interest/telesurtvnet
Palmer Report,Far Left,House Democrat brings articles of impeachment against Donald Trump,"… 1 year ago · Los Angeles, United States",https://ground.news/interest/palmer-report
World Socialist Web Site,Far Left,The 2014 coup in Ukraine,1 year ago · United States,https://ground.news/interest/world-socialist-web-site
teleSUR,Far Left,"","",https://ground.news/interest/telesurtvnet
Jacobin,Far Left,"After Germany’s Election, the Left Can Hope Again","Sunday's German election saw a big shift toward right-wing parties. But while the Alternative für Deutschland piled up votes in the former East, socialist party Die Linke also made a major breakthrough. Jan van Aken, Ines Schwerdtner, Heidi Reichinnek, and Gregor Gysi in Berlin on February 21, 2025. (Carsten Koall / picture alliance via Getty Images) On Sunday, Germany took a huge step to the right. The conservative Christian Democrats (CDU) ra… 1 year ago",https://ground.news/interest/jacobincom
teleSUR,Far Left,Hamas Frees Three Israeli Hostages in the Gaza Strip,"Israel is expected to release 369 Palestinians in the Gaza Strip on Saturday afternoon. As planned, Hamas released three Israelis who had been held captive since early October 2023. The three Israelis were identified as Sagui Dekel-Chen, Alexander Trufanov, and 46-year-old Yitzhak Shani.",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,"","",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,UN Warns of High Risk of Humanitarian Catastrophe in DR Congo,"Nearly 6.5 million people are displaced in the country, with nearly 3 million in North Kivu province. The humanitarian situation in the Democratic Republic of the Congo (DRC) has become alarming, according to a recent United Nations report. Clashes between the Congolese Army and the armed group M23 with support from Rwanda have reached Goma, the capital city of North Kivu Province (east), which houses approximately 2 million people.",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,"","",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,US Imposes New Tariff Rates on Canada and Mexico,"In response to perceived trade imbalances, the United States has imposed a 25% tariff on goods imported from Canada and Mexico. This move comes in response to President Donald Trump's decision to increase tariffs on these countries, citing their lack of favorable economic terms for the US.",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,"","",https://ground.news/interest/telesurtvnet
Orinoco Tribune,Far Left,Israel: 90 Palestinian Abductees Freed in First Exchange of Gaza Ceasefire Deal,"Israel has released ninety Palestinian abductees as part of the first phase of a Gaza ceasefire deal with the Hamas resistance movement. All the Palestinian abductees were freed from Ofer Prison in the occupied West Bank on Monday, the Israel Prison Service said on Monday. They were carried by buses to the West Bank town of Beitunia and the city of Ramallah. Hundreds of Palestinians hit the streets of Beitunia and Ramallah in jubilation, waving flags and chanting slogans.",https://ground.news/interest/orinoco-tribune
Crooks and Liars,Far Left,Trump Complains: Harder To Deal With Ukraine As Russia Pummels Them With Bombs,"Trump complains about the difficulty of dealing with Ukraine as Russia bombards them with artillery. Despite the ongoing conflict, Trump remains confident in his ability to negotiate a peace treaty with Russia, despite the country's aggressive actions. ""President Putin is bombing Ukraine. Do you still believe him when he tells you that he wants peace?"" a reporter asked. ""Yeah, no, I believe him. I think we're doing very well with Russia,"" Trump replied. ""But right … 1 year ago · United States",https://ground.news/interest/crooksandliarscom
teleSUR,Far Left,90 Palestinians released after Israeli ceasefire,"In a major development in the ongoing conflict, 90 Palestinians abducted by the Israeli Army were released as part of a ceasefire agreement signed in Doha, Qatar, on January 20. The release of the hostages, including three Israeli women, was a key component of the agreement. Most of those released are women, including Khalida Jarrar, a prominent Palestinian activist.",https://ground.news/interest/telesurtvnet
teleSUR,Far Left,"Vatican: Pope Francis in Critical Condition, Shows Slight Improvement","The Vatican Press Office announced on Monday that Pope Francis remains in critical condition but shows a slight improvement. The Holy Father spent the night well, marking the tenth night in the hospital. Laboratory tests have shown some improvement, and there have been no episodes of respiratory asthmatic crisis today.",https://ground.news/interest/telesurtvnet
