headline,summary,bias,predicted_bias
European Union The Latest To Investigate Grok,Elon Musk's Grok for X is being investigated by the European Union after the California attorney general and Ofcom announced similar probes.,Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: European Union The Latest To Investigate Grok
            ARTICLE SUMMARY: Elon Musk's Grok for X is being investigated by the European Union after the California attorney general and Ofcom announced similar probes.

            Output ONLY the numeric bias score.
          
assistant0.0"
U.S. Federal Reserve holds interest rates as pressure from Trump mounts - National,"The Federal Reserve pushed the pause button on its interest rate cuts Wednesday, leaving its key rate unchanged at about 3.6 per cent after lowering it three times last year.",Lean Left,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: U.S. Federal Reserve holds interest rates as pressure from Trump mounts - National
            ARTICLE SUMMARY: The Federal Reserve pushed the pause button on its interest rate cuts Wednesday, leaving its key rate unchanged at about 3.6 per cent after lowering it three times last year.

            Output ONLY the numeric bias score.
          
assistant-1.0"
Fed: the Series of Small Interest Rate Cuts Ends,The US Federal Reserve is leaving the key rate unchanged for the first time after three cuts. Fed boss Powell sees solid economic growth and believes that the central bank remains independent – despite the White House campaign.,Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Fed: the Series of Small Interest Rate Cuts Ends
            ARTICLE SUMMARY: The US Federal Reserve is leaving the key rate unchanged for the first time after three cuts. Fed boss Powell sees solid economic growth and believes that the central bank remains independent – despite the White House campaign.

            Output ONLY the numeric bias score.
          
assistant0.0"
Man sprays Ilhan Omar with unknown substance at town hall event,A man interrupted Rep. Ilhan Omar (D-MN) as she was speaking at a town hall event and sprayed her with an unknown substance. Omar was hosting a town hall event in North Minneapolis on Tuesday evening when a man in a black jacket rushed toward the podium and sprayed her with a liquid. Security guards grabbed the man as he pointed at the congresswoman and tackled him to the ground. Omar was speaking about Homeland Security Secretary Kristi Noem wh…,Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Man sprays Ilhan Omar with unknown substance at town hall event
            ARTICLE SUMMARY: A man interrupted Rep. Ilhan Omar (D-MN) as she was speaking at a town hall event and sprayed her with an unknown substance. Omar was hosting a town hall event in North Minneapolis on Tuesday evening when a man in a black jacket rushed toward the podium and sprayed her with a liquid. Security guards grabbed the man as he pointed at the congresswoman and tackled him to the ground. Omar was speaking about Homeland Security Secretary Kristi Noem wh…

            Output ONLY the numeric bias score.
          
assistant-1.0"
"Trump names Kevin Warsh as next Federal Reserve chair, replacing Jerome Powell","President Donald Trump has nominated Kevin Warsh to lead the Federal Reserve. Warsh, a former Fed governor, is expected to bring significant changes to the agency. His appointment requires Senate confirmation. This move could shift the Fed's independence and align it more closely with the White House. Warsh's tenure could influence interest rate policies and economic strategies.",Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Trump names Kevin Warsh as next Federal Reserve chair, replacing Jerome Powell
            ARTICLE SUMMARY: President Donald Trump has nominated Kevin Warsh to lead the Federal Reserve. Warsh, a former Fed governor, is expected to bring significant changes to the agency. His appointment requires Senate confirmation. This move could shift the Fed's independence and align it more closely with the White House. Warsh's tenure could influence interest rate policies and economic strategies.

            Output ONLY the numeric bias score.
          
assistant0.0"
Melania Trump documentary gets 'black carpet' premiere at Kennedy Center for Performing Arts,"The movie, “Melania,” was financed at an eyebrow-raising $75 million by Amazon MGM Studios. Amazon’s chairman, Jeff Bezos, also contributed to President Donald Trump’s inaugural fund earlier this year.",Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Melania Trump documentary gets 'black carpet' premiere at Kennedy Center for Performing Arts
            ARTICLE SUMMARY: The movie, “Melania,” was financed at an eyebrow-raising $75 million by Amazon MGM Studios. Amazon’s chairman, Jeff Bezos, also contributed to President Donald Trump’s inaugural fund earlier this year.

            Output ONLY the numeric bias score.
          
assistant+2.0"
Judge threatened to bring ICE head to MN over noncompliance with court orders,A federal judge threatened to bring the head of Immigration and Customs Enforcement to Minnesota this week because of the government's noncompliance with court orders.,Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Judge threatened to bring ICE head to MN over noncompliance with court orders
            ARTICLE SUMMARY: A federal judge threatened to bring the head of Immigration and Customs Enforcement to Minnesota this week because of the government's noncompliance with court orders.

            Output ONLY the numeric bias score.
          
assistant0.0"
State senator speaks after second Minneapolis federal agent shooting,"DFL state Sen. Bobby Joe Champion was on the scene Wednesday and livestreamed it. He joined Cathy Wurzer on Morning Edition Thursday to share more about what he witnessed and his efforts to keep the peace. 1 month ago · Saint Paul, United States",Lean Left,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: State senator speaks after second Minneapolis federal agent shooting
            ARTICLE SUMMARY: DFL state Sen. Bobby Joe Champion was on the scene Wednesday and livestreamed it. He joined Cathy Wurzer on Morning Edition Thursday to share more about what he witnessed and his efforts to keep the peace. 1 month ago · Saint Paul, United States

            Output ONLY the numeric bias score.
          
assistant0.0"
"Helena withdraws from drug task force over Border Patrol membership, East Helena stays on",Helena PD withdrew from a multi-jurisdictional drug task force after it added federal U.S. Border Patrol agents based in Helena and Bozeman to its ranks.,Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Helena withdraws from drug task force over Border Patrol membership, East Helena stays on
            ARTICLE SUMMARY: Helena PD withdrew from a multi-jurisdictional drug task force after it added federal U.S. Border Patrol agents based in Helena and Bozeman to its ranks.

            Output ONLY the numeric bias score.
          
assistant-1.0"
Nearly 1 million without power as massive winter storm rages,"Nearly 290,000 were without power in Tennessee and 140,500 in Mississippi as of mid-morning Sunday.",Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Nearly 1 million without power as massive winter storm rages
            ARTICLE SUMMARY: Nearly 290,000 were without power in Tennessee and 140,500 in Mississippi as of mid-morning Sunday.

            Output ONLY the numeric bias score.
          
assistant-1.0"
"Trump sues IRS and Treasury for US$10 billion, over leaked tax info","The filing alleges a leak of Trump and the Trump Organization’s confidential tax records caused “reputational and financial harm, public embarrassment”.",Lean Left,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Trump sues IRS and Treasury for US$10 billion, over leaked tax info
            ARTICLE SUMMARY: The filing alleges a leak of Trump and the Trump Organization’s confidential tax records caused “reputational and financial harm, public embarrassment”.

            Output ONLY the numeric bias score.
          
assistant0.0"
"Not a Trump Puppet, but a Monetary 'Hawk': Kevin Warsh Will Be the New Head of the Fed",Federal Reserve Chairman: Markets reacted with relief to the news that Kevin Warsh will be the new chairman of the US central bank. Who is…,Lean Left,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Not a Trump Puppet, but a Monetary 'Hawk': Kevin Warsh Will Be the New Head of the Fed
            ARTICLE SUMMARY: Federal Reserve Chairman: Markets reacted with relief to the news that Kevin Warsh will be the new chairman of the US central bank. Who is…

            Output ONLY the numeric bias score.
          
assistant-1.0"
Vladimir Putin's Residence Attacked: a Cia Note Undermines Moscow's Version,"VIDEO - The CIA questions the Russian version of a Ukrainian attack on Vladimir Putin's residence. According to the Wall Street Journal, this offensive never took place. Moscow accused Kiev of having launched 90 drones, but Ukraine denies. 2 months ago · France",Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Vladimir Putin's Residence Attacked: a Cia Note Undermines Moscow's Version
            ARTICLE SUMMARY: VIDEO - The CIA questions the Russian version of a Ukrainian attack on Vladimir Putin's residence. According to the Wall Street Journal, this offensive never took place. Moscow accused Kiev of having launched 90 drones, but Ukraine denies. 2 months ago · France

            Output ONLY the numeric bias score.
          
assistant+2.0"
"Iran and the Us Agree on the ""Principles"" of a Nuclear Agreement but Raise Tension with the Deployment of Fleets in the Arabian Sea","The Iranian Foreign Minister qualified that this is not a definitive agreement, while Ayatollah Khamenei charged against the US naval deployment, to which Tehran has responded in the Strait of Ormuz.",Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Iran and the Us Agree on the ""Principles"" of a Nuclear Agreement but Raise Tension with the Deployment of Fleets in the Arabian Sea
            ARTICLE SUMMARY: The Iranian Foreign Minister qualified that this is not a definitive agreement, while Ayatollah Khamenei charged against the US naval deployment, to which Tehran has responded in the Strait of Ormuz.

            Output ONLY the numeric bias score.
          
assistant-1.0"
'Central casting': Trump nominates Federal Reserve veteran to replace outgoing Jerome Powell * WorldNetDaily * by Bob Unruh,"Was youngest Fed governor ever, at 35, also served rep to G-20",Far Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: 'Central casting': Trump nominates Federal Reserve veteran to replace outgoing Jerome Powell * WorldNetDaily * by Bob Unruh
            ARTICLE SUMMARY: Was youngest Fed governor ever, at 35, also served rep to G-20

            Output ONLY the numeric bias score.
          
assistant+3.0"
Stanford’s Kevin Warsh nominated as Fed chair to replace Powell,"President Trump, who wants to reduce interest rates banks charge on loans, said today (Jan. 30) that he will nominate Kevin Warsh of Stanford to be the next chair of the Fed. Warsh would replace current chair Jerome Powell when his term expires in May. Trump chose Powell to lead the Fed in 2017 but this year has relentlessly assailed him for not cutting interest rates quickly enough. “I have known Kevin for a long period of time, and have no dou…",Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Stanford’s Kevin Warsh nominated as Fed chair to replace Powell
            ARTICLE SUMMARY: President Trump, who wants to reduce interest rates banks charge on loans, said today (Jan. 30) that he will nominate Kevin Warsh of Stanford to be the next chair of the Fed. Warsh would replace current chair Jerome Powell when his term expires in May. Trump chose Powell to lead the Fed in 2017 but this year has relentlessly assailed him for not cutting interest rates quickly enough. “I have known Kevin for a long period of time, and have no dou…

            Output ONLY the numeric bias score.
          
assistant+2.0"
The Latest: Democrats and White House reach deal to avert shutdown and fund Homeland Security,The Latest: Democrats and White House reach deal to avert shutdown and fund Homeland Security,Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: The Latest: Democrats and White House reach deal to avert shutdown and fund Homeland Security
            ARTICLE SUMMARY: The Latest: Democrats and White House reach deal to avert shutdown and fund Homeland Security

            Output ONLY the numeric bias score.
          
assistant0.0"
Us Department of Justice Publishes 3 Million Pages of Epstein Archives,"NEW YORK (AP) — The Department of Justice released on Friday many more records from its Jeffrey Epstein investigation files, resuming disclosures under a law intended to reveal what the government knew about the...",Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Us Department of Justice Publishes 3 Million Pages of Epstein Archives
            ARTICLE SUMMARY: NEW YORK (AP) — The Department of Justice released on Friday many more records from its Jeffrey Epstein investigation files, resuming disclosures under a law intended to reveal what the government knew about the...

            Output ONLY the numeric bias score.
          
assistant0.0"
Massive winter blast sweeps across U.S.,"A massive winter storm dumped sleet, freezing rain and snow across much of the United States on Sunday, bringing subzero temperatures and paralyzing air and road traffic. Power lines were draped in ice, and hundreds of thousands of people in the Southeast were left without electricity. Read more...",Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Massive winter blast sweeps across U.S.
            ARTICLE SUMMARY: A massive winter storm dumped sleet, freezing rain and snow across much of the United States on Sunday, bringing subzero temperatures and paralyzing air and road traffic. Power lines were draped in ice, and hundreds of thousands of people in the Southeast were left without electricity. Read more...

            Output ONLY the numeric bias score.
          
assistant-1.0"
"Trump and his eldest sons file $10B lawsuit against IRS, Treasury Departent over leaked tax records","President Trump, Donald Trump Jr., and Eric Trump filed a $10 billion lawsuit against the Internal Revenue Service (IRS) and Treasury Department Thursday, blaming the federal agencies for leaks of their confidential tax information.",Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Trump and his eldest sons file $10B lawsuit against IRS, Treasury Departent over leaked tax records
            ARTICLE SUMMARY: President Trump, Donald Trump Jr., and Eric Trump filed a $10 billion lawsuit against the Internal Revenue Service (IRS) and Treasury Department Thursday, blaming the federal agencies for leaks of their confidential tax information.

            Output ONLY the numeric bias score.
          
assistant0.0"
A Democratic Congresswoman Was Scribbled with a Chemical in the Middle of His Appearance in Minneapolis,"A man sprayed Democratic Congresswoman Ilhan Omar with a chemical substance when she appeared before the Minneapolis City Hall capacity to talk about the police raids of the Donald Trump Administration. The attack on the Somali-born congresswoman has been questioned by some American communicators, such as Anthony Brian Logan, who has questioned the veracity of the scene and pointed out that it would be something agreed upon. Ilhan Omar was addre…",Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: A Democratic Congresswoman Was Scribbled with a Chemical in the Middle of His Appearance in Minneapolis
            ARTICLE SUMMARY: A man sprayed Democratic Congresswoman Ilhan Omar with a chemical substance when she appeared before the Minneapolis City Hall capacity to talk about the police raids of the Donald Trump Administration. The attack on the Somali-born congresswoman has been questioned by some American communicators, such as Anthony Brian Logan, who has questioned the veracity of the scene and pointed out that it would be something agreed upon. Ilhan Omar was addre…

            Output ONLY the numeric bias score.
          
assistant-1.0"
Justice Dept. releases 3 million pages of Epstein files,Justice Dept. releases 3 million pages of Epstein files - Nation and World News | Hawaii Tribune-Herald,Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Justice Dept. releases 3 million pages of Epstein files
            ARTICLE SUMMARY: Justice Dept. releases 3 million pages of Epstein files - Nation and World News | Hawaii Tribune-Herald

            Output ONLY the numeric bias score.
          
assistant0.0"
List: Famous People in the New Epstein Files,"World leaders, royalty, cultural figures and the world's richest. Many famous people had contact with sex offender Jeffrey Epstein - here is a list of some of them who appear in the latest giant collection of declassified documents.",Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: List: Famous People in the New Epstein Files
            ARTICLE SUMMARY: World leaders, royalty, cultural figures and the world's richest. Many famous people had contact with sex offender Jeffrey Epstein - here is a list of some of them who appear in the latest giant collection of declassified documents.

            Output ONLY the numeric bias score.
          
assistant0.0"
Italian Alps: Almost 100 People Evacuated After Cable Car Accident in Piedmont,"In the Italian Alps, a cable car cabin crashed against a barrier. Four people were injured. Many skiers were stuck on the mountain for hours. 2 months ago · Germany",Lean Left,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Italian Alps: Almost 100 People Evacuated After Cable Car Accident in Piedmont
            ARTICLE SUMMARY: In the Italian Alps, a cable car cabin crashed against a barrier. Four people were injured. Many skiers were stuck on the mountain for hours. 2 months ago · Germany

            Output ONLY the numeric bias score.
          
assistant0.0"
Democrats and Trump Strike Government Funding Deal,,Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Democrats and Trump Strike Government Funding Deal
            ARTICLE SUMMARY: None

            Output ONLY the numeric bias score.
          
assistant-1.0"
Usa: Donald Trump Appoints Kevin Warsh as Next Fed Boss,"The billionaire, who seeks to control the US Federal Reserve more, announced on Friday January 30th the name of Jerome Powell's successor, whom he has stopped vilipendering.",Lean Left,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Usa: Donald Trump Appoints Kevin Warsh as Next Fed Boss
            ARTICLE SUMMARY: The billionaire, who seeks to control the US Federal Reserve more, announced on Friday January 30th the name of Jerome Powell's successor, whom he has stopped vilipendering.

            Output ONLY the numeric bias score.
          
assistant+2.0"
Machado says she presented Trump with her Nobel Peace Prize during meeting,"Venezuelan opposition leader María Corina Machado said on Thursday that she presented her Nobel Peace Prize to President Trump during their meeting at the White House. “I presented the president of the United States the medal of the Nobel Peace Prize,” Machado told reporters in Washington. Machado said she told Trump that 200 years ago [...] 1 month ago · Cleveland, United States",Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Machado says she presented Trump with her Nobel Peace Prize during meeting
            ARTICLE SUMMARY: Venezuelan opposition leader María Corina Machado said on Thursday that she presented her Nobel Peace Prize to President Trump during their meeting at the White House. “I presented the president of the United States the medal of the Nobel Peace Prize,” Machado told reporters in Washington. Machado said she told Trump that 200 years ago [...] 1 month ago · Cleveland, United States

            Output ONLY the numeric bias score.
          
assistant+2.0"
The Eu Can Shut Down Grok,Initiates proceedings against Elon Musk's AI service. The background is bikini photos of Ebba Busch and other powerful people.,Far Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: The Eu Can Shut Down Grok
            ARTICLE SUMMARY: Initiates proceedings against Elon Musk's AI service. The background is bikini photos of Ebba Busch and other powerful people.

            Output ONLY the numeric bias score.
          
assistant+2.0"
Trump Says He May Punish Countries With Tariffs If They Don’t Back The U.S. Controlling Greenland,He had not previously mentioned using tariffs to try to force the issue. 1 month ago · United States,Left,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Trump Says He May Punish Countries With Tariffs If They Don’t Back The U.S. Controlling Greenland
            ARTICLE SUMMARY: He had not previously mentioned using tariffs to try to force the issue. 1 month ago · United States

            Output ONLY the numeric bias score.
          
assistant-1.0"
Melania humiliated as UK premiere of her movie gets single-digit ticket sales,"Melania Trump's eponymous documentary flopped in its London debut.UK cinema chain Vue's will premier ""Melania"" at 3:10 p.m. at its flagship Islington theater in London, but so far only one person has bought a ticket and just two tickets have sold for a 6 p.m. showing – undercutting President Donald ...",Left,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Melania humiliated as UK premiere of her movie gets single-digit ticket sales
            ARTICLE SUMMARY: Melania Trump's eponymous documentary flopped in its London debut.UK cinema chain Vue's will premier ""Melania"" at 3:10 p.m. at its flagship Islington theater in London, but so far only one person has bought a ticket and just two tickets have sold for a 6 p.m. showing – undercutting President Donald ...

            Output ONLY the numeric bias score.
          
assistant-1.0"
"At Least 1 Dead, Others Injured in Ice Rink Shooting After Family Dispute","At least one person is dead and others injured after a ""family dispute"" led to shots fired at an ice rink in Rhode Island on Monday afternoon. The post At Least One Dead, Others Injured in Ice Rink Shooting After Family Dispute appeared first on Breitbart.",Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: At Least 1 Dead, Others Injured in Ice Rink Shooting After Family Dispute
            ARTICLE SUMMARY: At least one person is dead and others injured after a ""family dispute"" led to shots fired at an ice rink in Rhode Island on Monday afternoon. The post At Least One Dead, Others Injured in Ice Rink Shooting After Family Dispute appeared first on Breitbart.

            Output ONLY the numeric bias score.
          
assistant+2.0"
